Point of Interest,Place,Adm1,Country,Foundation date,Owner
John F. Kennedy Presidential Library and Museum,Columbia Point,Massachusetts,United States,1979-01-01,National Archives and Records Administration
Petrie Museum of Egyptian Archaeology,London,England,United Kingdom,1892-01-01,University College London
Helsinki City Museum,Kruununhaka,Uusimaa,Finland,1911-01-01,Helsinki
Castle Caputh,Caputh,Brandenburg,Germany,1662-01-01,Prussian Palaces and Gardens Foundation Berlin-Brandenburg
Nyköping Castle,Nyköping,Södermanland,Sweden,1200-01-01,National Property Board
World of Coca-Cola,Atlanta,Georgia,United States,1990-01-01,The Coca-Cola Company
Zeeuws Museum,Middelburg,Zeeland,Netherlands,1972-01-01,Rijksmuseum
Horniman Museum,Forest Hill,England,United Kingdom,1901-01-01,"Department for Digital, Culture, Media and Sport"
Nobel Prize Museum,Gamla stan,Stockholm,Sweden,2001-04-01,Nobel Foundation
Museo di Palazzo Venezia,Palazzo Venezia,Latium,Italy,1916-01-01,Ministry of Cultural Heritage and Activities and Tourism
Palanga Amber Museum,Palanga,Klaipėda County,Lithuania,1963-08-03,Lithuanian Art Museum
Stockholm Palace,Gamla stan,Stockholm,Sweden,1760-01-01,National Property Board
Hamburg Dungeon,HafenCity,Hamburg,Germany,2000-05-03,Merlin Entertainments
Wahnfried,Bayreuth,Bavaria,Germany,1976-01-01,Wagner family
Stockholm Observatory,Vasastaden,Stockholm,Sweden,1752-01-01,Royal Swedish Academy of Sciences
Sabarmati Ashram,Ahmedabad,Gujarat,India,1915-06-25,Mohandas Karamchand Gandhi
Helsinki University Observatory,Tähtitorninvuori,Uusimaa,Finland,1834-01-01,University of Helsinki
Tropenmuseum,Villa Welgelegen,North Holland,Netherlands,1864-01-01,National Museum of World Cultures
Creation Museum,Petersburg,Kentucky,United States,2007-05-28,Answers in Genesis
Royal Palace of Amsterdam,Amsterdam-Centrum,North Holland,Netherlands,1665-01-01,Kingdom of the Netherlands
